Sample_ID	Sample_barcodes_extracted	sample_desc	Sample_Type	Jar_Number	Jar_Label	Conc_class	Div_class	Plast_class	Depth_class	Sample_date	timepoint	Total_vol_extracted_ml	pore_size	Depth_m	Cnt_pieces_extracted	Extraction_Date	Plastic_colors_counts	Extraction_Group
DNA_113	MIW21-0462	water filter DNA	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	SURF	2021-08-24	NA	3000	20	1	NA	2021-11-03	20 μm; 1 m	MD
DNA_81	MIW21-0561	water filter DNA 1	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	DEEP	2021-08-24	T0	500	20	183	NA	2021-11-03	NA	MD
DNA_84	MIW21-0574	water filter DNA 1	lake water	NA	NA	LAKE_WATER_FL	LAKE_WATER_FL	LAKE_WATER_FL	DEEP	2021-08-24	T0	500	0.22	183	NA	2021-11-03	NA	MD
DNA_87	MIW21-0558	water filter DNA 1	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	SURF	2021-08-24	T0	1000	20	1	NA	2021-11-03	NA	MD
DNA_90	MIW21-0576	water filter DNA 1	lake water	NA	NA	LAKE_WATER_FL	LAKE_WATER_FL	LAKE_WATER_FL	SURF	2021-08-24	T0	1000	0.22	1	NA	2021-11-03	NA	MD
DNA_82	MIW21-0033	water filter DNA 2	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	DEEP	2021-08-24	T0	500	20	183	NA	2021-11-03	NA	MD
DNA_85	MIW21-0031	water filter DNA 2	lake water	NA	NA	LAKE_WATER_FL	LAKE_WATER_FL	LAKE_WATER_FL	DEEP	2021-08-24	T0	500	0.22	183	NA	2021-11-03	NA	MD
DNA_88	MIW21-0562	water filter DNA 2	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	SURF	2021-08-24	T0	1000	20	1	NA	2021-11-03	NA	MD
DNA_91	MIW21-0559	water filter DNA 2	lake water	NA	NA	LAKE_WATER_FL	LAKE_WATER_FL	LAKE_WATER_FL	SURF	2021-08-24	T0	1000	0.22	1	NA	2021-11-03	NA	MD
DNA_83	MIW21-0043	water filter DNA 3	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	DEEP	2021-08-24	T0	500	20	183	NA	2021-11-03	NA	MD
DNA_86	MIW21-0042	water filter DNA 3	lake water	NA	NA	LAKE_WATER_FL	LAKE_WATER_FL	LAKE_WATER_FL	DEEP	2021-08-24	T0	500	0.22	183	NA	2021-11-03	NA	MD
DNA_89	MIW21-0563	water filter DNA 3	lake water	NA	NA	LAKE_WATER_PA	LAKE_WATER_PA	LAKE_WATER_PA	SURF	2021-08-24	T0	2400	20	1	NA	2021-11-03	NA	MD
DNA_92	MIW21-0560	water filter DNA 3	lake water	NA	NA	LAKE_WATER_FL	LAKE_WATER_FL	LAKE_WATER_FL	SURF	2021-08-24	T0	2400	0.22	1	NA	2021-11-03	NA	MD
DNA_99	MIW21-0008	cricket	manta non-plast	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_104	MIW21-0006	feather	manta non-plast	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_103	MIW21-0007	insect wing	manta non-plast	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_93	MIW21-0014	macroinvertabrate 	manta non-plast	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_94	MIW21-0013	vegetation	manta non-plast	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_105	MIW21-0005	blue	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_107	MIW21-0001	blue	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_95	MIW21-0012	blue	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_109	MIW21-0003	cyan plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
DNA_98	MIW21-0009	film plastic	manta plastic	NA	NA	MANTA	MANTA	MANTA	SURF	2021-08-23	NA	NA	NA	manta	NA	2021-11-03	NA	MD
